name,ELONG,ELAT,RA,DEC
B1855+09,286.8634857826211,32.32148298563525,4.9533700406872905,1.4023094697713987
B1937+21,301.97324448430203,42.29675207754763,5.13772499030046,1.1961263778652136
B1953+29,309.6913437910709,48.6845444393172,5.2073911951100005,1.0644403650138399
J0023+0923,9.070384850682215,6.309108232312088,0.101583674173196,1.406910612287424
J0030+0451,8.91035115524765,1.445698640074028,0.13289421652204092,1.4859553043316727
J0340+4130,62.614060890043895,21.334471654999504,0.9616245386278518,0.8462650020438675
J0406+3039,65.51429638790843,9.601933281694937,1.0757422095182472,1.035647227661653
J0437-4715,50.46886857938124,-67.87322632072622,1.2098051141698616,2.395511783407817
J0509+0856,77.1134632257274,-13.934571429897256,1.3498838842940857,1.414758786327821
J0557+1551,89.3992451400129,-7.602967249007724,1.559993385736835,1.2944228622240037
J0605+3757,91.03687360569133,14.525283440265763,1.5930160324684843,0.9082694745079809
J0610-2100,93.3423330765641,-44.41733802671748,1.615418679642372,1.937449953297667
J0613-0200,93.79900894262174,-25.40714293974584,1.630717558199462,1.6059318286058564
J0636+5128,96.3631489222137,28.24309833975736,1.7282285446591636,0.6722426584756714
J0645+5158,98.05854853496083,28.852637726156303,1.7714425152247795,0.6637344707560477
J0709+0458,108.06899650927654,-17.3806495920085,1.8724739699434827,1.4838617898181556
J0740+6620,103.759135345273,44.10247870066016,2.0104588697498933,0.4128986899487974
J0931-1902,152.3769657543621,-31.77672608076289,2.492847678442924,1.9032573658337164
J1012+5307,133.36110841851405,38.75530139532037,2.672785707090272,0.6437247350407855
J1012-4235,176.78919421295765,-48.910855691934536,2.671294587381074,2.314274565168083
J1022+1001,153.8658300110239,-0.06384243560145,2.7182047941112657,1.395714886777529
J1024-0719,160.73434221415098,-16.044762436807762,2.7255252047300944,1.698591685305527
J1125+7819,115.6293170196478,62.45204363111246,2.993230998705023,0.2036764431657192
J1312+0051,196.45394722495809,7.920513268445621,3.459143096703491,1.555960912104945
J1453+1902,214.20871410160143,33.90461028824525,3.8997724107512948,1.2385434634055685
J1455-3330,231.34754031751757,-16.04479840767313,3.908662705704496,2.1557066528883206
J1600-3053,244.34767809402743,-10.07184325213373,4.192564637621583,2.1100518859195074
J1614-2230,245.788298913709,-1.256822751399348,4.252531627421936,1.9636475108183578
J1630+3734,234.9729179953296,58.3305226935606,4.322342192879537,0.9149309100722688
J1640+2224,243.98909420853784,44.05850969734,4.3645409154497665,1.1798000901267782
J1643-1224,251.08722332907777,9.778334025953956,4.3791883557285605,1.7875017522594125
J1705-1903,257.1613243962001,3.775144875938146,4.4755949828000405,1.9034824426437034
J1713+0747,256.6686991315149,30.70035828231546,4.510915035367597,1.434770027707394
J1719-1438,260.0169625315197,8.452613190826273,4.5342254424449555,1.8262012008591983
J1730-2304,263.1860823315684,0.188858013545961,4.583066006392645,1.9735370003275972
J1738+0333,264.0949166995356,26.884240800052016,4.6203206176131655,1.508784491533873
J1741+1351,264.3646709275434,37.21119372619134,4.631750649461279,1.3288546028234924
J1744-1134,266.119413028379,11.80519588804789,4.6447146593681135,1.77293824693939
J1745+1017,265.7315719201634,33.683724898874495,4.649399919694822,1.3910641934440346
J1747-4036,267.579132979314,-17.201541579769835,4.6592085175043465,2.27966582643586
J1751-2857,268.14199194549707,-5.537285992578623,4.67549621556257,2.0762950757907404
J1802-2124,270.48652607606016,2.037373873394774,4.721503567817841,1.9443148554617915
J1811-2405,272.58604601330023,-0.674597028658248,4.761829381980045,1.9912193129728892
J1832-0836,278.2920013093878,14.590707379869,4.854021851148428,1.7211617717073528
J1843-1113,280.94453098338755,11.799986181454862,4.903012446698746,1.766715052082447
J1853+1303,286.25730393905053,35.74334922240415,4.947813382634882,1.3428174968935767
J1903+0327,287.5625760942429,25.937981525385865,4.987699548280418,1.5104897147350658
J1909-3744,284.22084587996807,-15.15553320954746,5.016907611598143,2.2294383322240154
J1910+1256,291.0414134909097,35.10721730804734,5.018527101710438,1.3449438931554853
J1911+1347,291.7169235862991,35.88642951835573,5.0261993959922515,1.33006541010673
J1918-0642,290.3146325505188,15.351058833292926,5.056221153918381,1.687902815742108
J1923+2515,297.9809417813166,46.6961933764813,5.076180392957719,1.1299042187042252
J1944+0907,299.9954555054739,29.891015287882443,5.166853176113608,1.4115691586816776
J1946+3417,309.1988329379652,54.16557448919858,5.1767286126454835,0.9723681793775599
J2010-1323,301.9244884754306,6.490943261040312,5.282960527334721,1.8046517022999182
J2017+0603,308.2611822123848,25.044494139501086,5.311815432883161,1.4651770742688934
J2033+1734,316.29008576917687,35.06284370737664,5.381978032257889,1.2639169302964577
J2043+1711,318.868477930666,33.96431760152312,5.4251291045886125,1.2707506862776397
J2124-3358,312.73878667937845,-17.818916933903843,5.605694963605483,2.163846616005822
J2145-0750,326.02461013055,5.313051706295277,5.697806167447879,1.7076036667662866
J2214+3000,348.8091579900441,37.71314223454542,5.82349869289204,1.047012486648837
J2229+2643,350.6956354610509,33.29017175178612,5.889823223925002,1.1042231728686156
J2234+0611,342.6052506081925,14.079433012706874,5.909617780584579,1.4627376634227458
J2234+0944,344.11901684544875,17.318567914364237,5.911346875588321,1.4007713986754535
J2302+4442,9.780435088461182,45.665432020745484,6.033528763836873,0.7905271841191157
J2317+1439,356.1294057072527,17.68023409650292,6.096234046136392,1.3149540405644127
J2322+2057,0.135946239393969,22.878363720389064,6.119002414366659,1.2051375210523247
